cityid,urbanArea,Albedo,Evapotranspiration,Specific_humidity,Total_precipitation_rate,Rain_precipitation_rate,Air_temperature,Wind_speed,era5h11_temperature_2m,era5h11_total_precipitation,era5h11_total_precipitation_hourly,era5h11_wind_10m,era5m_temperature_2m,era5m_temperature_2m_max,era5m_temperature_2m_min,era5m_total_precipitation_sum,era5m_wind_10m,pop,Type,continent,continent_v,max_d_rsquared,max_t_rsquared,d_const,d_lnarea,d_lnlsi,d_NDVI,d_imp,city_d_rsquared,t_const,t_lnarea,t_lnlsi,t_NDVI,t_imp,city_t_rsquared,green_space_num,ndvi_imp_green_space_num,non_cool,have_turning_point,max_g_median,max_d_mean,max_d_median,max_t_mean,max_t_median,mean_ndvi,mean_isp
57413,96.68724949,15.5710836,3.80E-06,0.013122261,2.26E-05,2.26E-05,297.4327981,4.963843003,297.2176758,0.00031,4.00E-05,3.399763822,302.3354413,312.5542447,293.0012479,0.028170297,3.324119456,78755.19075,2,North America,4,0.199446342,0.666425532,-265.0657999,51.16056397,-176.9020937,-11.92280494,275.6849288,0.363426053,-7.846827762,1.050798381,-2.705975847,3.851981051,0.538591034,0.765092129,47,20,1,20,0.420833357,125.8240183,133.130545,0.785669697,0.661715845,0.43416301,0.493850779
57581,759.086372,15.00952587,1.30E-06,0.006221732,9.50E-06,9.52E-06,288.7930607,2.411605237,288.8731343,0.000256,2.30E-05,0.786028785,294.66003,305.2502372,282.3065348,0.026230981,0.373043076,1108301.389,4,North America,4,0.199446342,0.666425532,-138.2173111,45.97082957,-68.31447556,-116.0378856,-46.36580716,0.070144128,-9.560802285,0.744349929,-1.282591627,6.299901161,2.823289551,0.343289591,44,30,1,30,0.580449207,142.2604326,148.51739,1.036592795,0.876195177,0.496145843,0.625790532
57618,459.8268741,14.33714698,1.65E-06,0.013836879,5.05E-05,5.05E-05,294.5330552,2.795846114,295.6637304,0.001051704,9.68E-05,0.892444696,298.6795042,306.9611068,291.0238781,0.119413303,1.016738468,552091.7356,3,North America,4,0.199446342,0.666425532,-249.1347734,-29.00973388,92.94099093,671.9308295,233.7063402,0.388364817,-12.43360772,0.308157985,-0.050948607,15.09554331,3.470236836,0.543240323,43,26,1,26,1.687856443,98.98224559,92.41807162,1.96017217,1.553581998,0.636596089,0.472968226
57623,295.8913885,14.40987281,1.44E-06,0.013587738,5.00E-05,4.99E-05,294.2190205,2.651734906,295.4754742,0.0010109,9.53E-05,0.815671024,298.6479811,307.2842125,290.8190243,0.117899597,0.9306867,294292.588,3,North America,4,0.199446342,0.666425532,180.473849,56.26620521,-150.7045398,-811.4053703,31.67168038,0.140305496,-7.38896902,0.654140038,-1.222180062,3.29893048,2.706770242,0.452021233,42,33,1,33,1.116884107,102.4875207,83.77781508,0.999888857,0.841199364,0.598397661,0.461780663
57674,495.3288602,14.47750443,4.94E-07,0.012817695,4.64E-05,4.64E-05,292.98279,2.135744318,294.7711216,0.00094,9.14E-05,0.585558437,298.5864213,308.2551477,290.0489835,0.105488419,0.661575463,497920.4822,3,North America,4,0.199446342,0.666425532,-152.998043,13.10726777,-15.02194401,41.37718062,238.5352287,0.184974527,-15.13870409,0.769400402,-1.319221326,12.80349425,5.639515043,0.71524289,119,89,0,89,2.360453928,125.8603994,117.5831507,2.833069415,2.425599119,0.645934694,0.552003871
57686,990.6833949,14.7748931,-3.45E-07,0.01205595,3.94E-05,3.94E-05,291.9061112,2.003161763,293.7112013,0.001040654,9.67E-05,0.525802698,297.6194522,307.5221424,288.8027115,0.103849756,0.548458479,1669686.643,3,North America,4,0.199446342,0.666425532,-43.51187529,-5.945338639,21.91574703,214.850224,113.8978554,0.056268119,-8.276005421,0.452540524,-1.195221875,8.606884966,2.950242921,0.606565858,83,64,1,64,1.694067736,115.411117,113.6146594,2.022472861,1.811283474,0.637180353,0.512755986
57860,219.9291505,12.27184775,4.45E-07,0.006346683,1.06E-05,1.06E-05,287.1927545,1.876206755,288.4938493,0.000301,2.62E-05,0.580385929,294.2022785,308.3569463,282.0637279,0.025033853,1.261024707,275390.541,4,North America,4,0.199446342,0.666425532,-441.8757029,5.494246772,3.023564215,596.2368416,387.9199572,0.127631463,-12.4145093,0.551731789,-0.43152835,8.712682261,7.054875779,0.591879146,135,73,0,73,0.58628513,136.5411258,140.7431501,0.893036615,0.755257437,0.491556624,0.58395682
57880,233.7192855,14.50659932,1.99E-06,0.006268547,6.90E-06,6.90E-06,290.7085705,2.963119877,291.0833933,0.000129,1.22E-05,1.645437904,297.0607623,311.7800015,284.2631231,0.00959198,1.843258532,228862.0515,2,North America,4,0.199446342,0.666425532,-556.2881899,41.63056226,10.49600842,326.8192767,159.5560131,0.254162917,-14.47412141,1.112537192,-1.393886364,6.185391509,5.759222214,0.528610703,125,64,0,64,0.777571081,130.3681595,124.8258904,1.145404823,0.906547587,0.521960347,0.571104065
57921,88.60842753,12.72251258,1.38E-06,0.006544236,8.53E-06,8.52E-06,286.4958132,2.584874958,287.0628739,0.000215,2.00E-05,1.54147365,292.6350029,307.6002893,280.6636872,0.018298122,1.622810909,62310.96083,4,North America,4,0.199446342,0.666425532,349.4577805,-64.92003148,140.3251126,633.1561576,-168.8426915,0.197380017,-0.879190362,-0.370394497,0.92212026,9.729660718,-0.828280894,0.321419083,81,44,2,44,0.916170126,132.8448492,119.2903461,1.266922315,1.268060826,0.513779004,0.51141292
57964,2241.606357,11.672782,-1.35E-06,0.007513526,9.35E-06,9.40E-06,284.0937933,1.472057889,284.7725737,0.000528,4.70E-05,0.307764551,288.9879078,303.6032006,279.7648626,0.043858339,0.814237198,2764552.399,3,North America,4,0.199446342,0.666425532,101.9856182,-12.55011614,66.41113024,288.6255682,-120.6810279,0.149269407,-11.75356834,0.766171989,-1.062565827,9.931152501,2.69067249,0.628835586,105,78,1,78,1.135517764,128.2872846,114.7953396,1.822488321,1.330992969,0.529530734,0.696014571
57998,281.7532115,12.49695532,-1.52E-06,0.00748261,7.59E-06,7.58E-06,284.9257129,1.50632612,285.6864188,0.000365,3.29E-05,0.684423479,290.657463,306.7852018,280.5690074,0.030173711,1.225035255,350826.5404,3,North America,4,0.199446342,0.666425532,-269.8344252,14.58406078,-25.74092691,271.480085,246.3837075,0.158199615,-9.691255824,0.744685179,-1.317716296,8.388902939,1.308328713,0.654109413,100,62,6,62,1.332249679,103.9437451,84.150505,1.311730639,1.051969946,0.522077133,0.463135114
58066,77.4204539,15.51693128,-5.36E-07,0.010119452,4.18E-05,4.18E-05,288.8862403,3.207572681,290.7542337,0.001132701,0.000115,0.754293667,292.9877923,300.8547363,285.588757,0.081943927,0.564156303,58200.17696,4,North America,4,0.199446342,0.666425532,-579.6489918,73.38387774,-161.5243588,1.966088262,319.6703479,0.220586912,-13.56612198,0.255540708,0.358649621,17.73801654,1.971859086,0.759021876,72,37,1,37,0.748516485,130.0716341,126.2284561,1.211879508,0.752336265,0.611946406,0.497504297
58101,612.9542337,14.7997583,-9.46E-07,0.009849056,4.02E-05,4.02E-05,288.2606615,2.891527396,290.2503848,0.001345997,0.00012,0.714675558,293.6016929,302.959106,284.7847489,0.091998362,0.567655086,457228.6297,4,North America,4,0.199446342,0.666425532,12.93683819,-3.674667927,11.60916599,210.8708978,23.21972081,0.020675359,-9.582147109,0.114160797,0.020158085,12.30943005,3.710757317,0.633902934,107,72,2,72,0.855983954,130.5460537,129.6504165,1.154138959,0.971605599,0.611609161,0.533679798
